revision,fixture,width,height,pixels,threads,round,phase,sample,traversal,schedule_position,planner_mode,bands,queue_depth,band_height,overlap_rows,planned_dither_threads,planned_encode_threads,observed_parallel_dither_threads,observed_encode_pool_threads,observed_writer_threads,dither_start_count,dither_finish_count,encode_worker_start_count,encode_worker_finish_count,writer_start_count,writer_finish_count,encoder_abort_count,tail_grow_requested,dither_encode_overlap,encoder_wall_seconds,palette_wall_seconds,dither_encode_wall_seconds,sixel_bytes,sixel_sha256,total_wall_seconds,command
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1,10,timed,8,descending,16,serial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,0.861336,0.069693,0.6343,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,0.861336,'{img2sixel}' --threads=1 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1,11,timed,9,ascending,1,serial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,0.859992,0.068695,0.631292,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,0.859992,'{img2sixel}' --threads=1 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,2,11,timed,9,ascending,2,pipeline,113,6,678,0,1,1,0,2,1,0,0,180,180,1,1,0,no,no,0.7913870000000001,0.06865600000000001,0.626638,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,0.7913870000000001,'{img2sixel}' --threads=2 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,3,11,timed,9,ascending,3,pipeline,113,9,678,0,1,2,0,2,1,0,0,180,180,1,1,0,yes,yes,0.767598,0.06877299999999999,0.62335,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,0.767598,'{img2sixel}' --threads=3 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,4,11,timed,9,ascending,4,pipeline,113,12,342,0,2,2,2,2,1,2,2,180,180,1,1,0,yes,yes,0.45228500000000005,0.068847,0.31905000000000006,1112109,2dfe38f3bf3164808afd092ab6330aae11349fbecfda4a21833c2c99fd7f24e2,0.45228500000000005,'{img2sixel}' --threads=4 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,5,11,timed,9,ascending,5,pipeline,113,15,228,0,3,2,3,2,1,3,3,180,180,1,1,0,yes,yes,0.346771,0.068755,0.219509,1110687,7f210772d0cea09d8936b3b53de6b570dc34fbccbbd14e178137bec614255a07,0.346771,'{img2sixel}' --threads=5 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,6,11,timed,9,ascending,6,pipeline,113,18,174,0,4,2,4,2,1,4,4,180,180,1,1,0,yes,yes,0.291038,0.069028,0.166074,1112687,f983921ff065e81bf243edcc24e56c0d506e943475ecf24c196e1a89db6f6891,0.291038,'{img2sixel}' --threads=6 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,7,11,timed,9,ascending,7,pipeline,113,21,138,0,5,2,5,2,1,5,5,180,180,1,1,0,yes,yes,0.25647400000000004,0.06918099999999999,0.13492400000000002,1112165,72ca254012a3e3e522ddd8c8a1ac9bdfc00d5af6cb5fb14101fb73d8b4ad558a,0.25647400000000004,'{img2sixel}' --threads=7 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,8,11,timed,9,ascending,8,pipeline,113,24,114,0,6,2,6,2,1,6,6,180,180,1,1,0,yes,yes,0.231316,0.068989,0.11355,1110266,9bfe778ebfad630c52817797049bbd64c93ec8afb743628f4b3cfc94da705d0f,0.231316,'{img2sixel}' --threads=8 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,9,11,timed,9,ascending,9,pipeline,113,27,102,0,7,2,7,2,1,7,7,180,180,1,1,0,yes,yes,0.215506,0.06920100000000001,0.09832300000000001,1112011,e6899471b079cb9bd831d17515535daf8e5fcac8a8c80d6914af265f817c60d8,0.215506,'{img2sixel}' --threads=9 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,10,11,timed,9,ascending,10,pipeline,113,30,102,0,7,3,7,3,1,7,7,180,180,1,1,0,yes,yes,0.212108,0.069265,0.097477,1112011,e6899471b079cb9bd831d17515535daf8e5fcac8a8c80d6914af265f817c60d8,0.212108,'{img2sixel}' --threads=10 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,11,11,timed,9,ascending,11,pipeline,113,33,90,0,8,3,8,3,1,8,8,180,180,1,1,0,yes,yes,0.207404,0.068925,0.08821000000000001,1106783,6cab90aaee14d9032397ebe46bc5103ca33d7b7080cb7c28d1df03adc332b8d7,0.207404,'{img2sixel}' --threads=11 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,12,11,timed,9,ascending,12,pipeline,113,36,78,0,9,3,9,3,1,9,9,180,180,1,1,0,yes,yes,0.195147,0.06906,0.076054,1107546,88a62cbd9a5a024d4859507db08763ffb3559debc3b978621161b62a724a613e,0.195147,'{img2sixel}' --threads=12 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,13,11,timed,9,ascending,13,pipeline,113,39,72,0,10,3,10,3,1,10,10,180,180,1,1,0,yes,yes,0.186907,0.069058,0.068725,1110441,5c6cb8bd9a758fecc539dc3acb8a3a6ba2b2b27b5fdd24cdebaaa0919a5a9881,0.186907,'{img2sixel}' --threads=13 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,14,11,timed,9,ascending,14,pipeline,113,42,72,0,10,4,10,4,1,10,10,180,180,1,1,0,yes,yes,0.186055,0.068889,0.069311,1110441,5c6cb8bd9a758fecc539dc3acb8a3a6ba2b2b27b5fdd24cdebaaa0919a5a9881,0.186055,'{img2sixel}' --threads=14 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,15,11,timed,9,ascending,15,pipeline,113,45,66,0,11,4,11,4,1,11,11,180,180,1,1,0,yes,yes,0.186043,0.06887499999999999,0.06831799999999999,1109581,4aae527e86ba442f8de8813cd9b23bea87656927f4ee0a232b05caec50f546d0,0.186043,'{img2sixel}' --threads=15 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,16,11,timed,9,ascending,16,pipeline,113,48,60,0,12,4,12,4,1,12,12,180,180,1,1,0,yes,yes,0.183936,0.06900300000000001,0.066732,1109809,895b29fa9417beb77a66350ca9d1c646da69650b30ccce01be86acdd497dd934,0.183936,'{img2sixel}' --threads=16 --precision=8bit --quality=full --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1 --merge-policy=ward -Xoklab -Wgamma --diffusion=fs:scan=raster --gpu-policy=off --lookup-policy=6bit:shared_instance=1 -p 256 -w 1920 -h 1080 -v -J '{log}' -o '{output}' '{input}'
